line,name,url,created_at,updated_at,the_geom,cartodb_id,the_geom_webmercator
B-Q,15th St & Gravesend Neck Rd At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000009933A1AF207D52C03C0A879D294C4440,884,0101000020110F0000D9842F93B1675FC167689B5EB5E45241
B-Q,15th St & Avenue U At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000201C0F27307D52C00708984BAA4C4440,885,0101000020110F0000A0BDACD8CB675FC13F240C4D45E55241
R,4th Ave & Bay Ridge Ave At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000D89AF7B1828152C02236F8E93F514440,886,0101000020110F000020A39C6B236F5FC1A575026966EA5241
R,4th Ave & 68th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000005B6D58957D8152C0A8A5D3EE57514440,887,0101000020110F0000113CC9BC1A6F5FC1B381924A81EA5241
N-R,4th Ave & 59th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000008C81CBD4248152C02207AB9A20524440,888,0101000020110F0000DA0EA5FB836E5FC16F32E6E261EB5241
N-R,4th Ave & 59th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000F8E3AA9A208152C04D397DC51A524440,889,0101000020110F000037DF8ACD7C6E5FC1D686A15B5BEB5241
N-R,4th Ave & 59th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000005784D26C1E8152C05BB6B8421F524440,890,0101000020110F0000977AFC19796E5FC10C25EE6160EB5241
N,8th Ave & 62nd St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000000F472310B18052C0BBE19A5235514440,891,0101000020110F0000F0E0CC56BF6D5FC19356948E5AEA5241
N-R,4th Ave & 53rd St At Se Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E61000009BA240B3EB8052C03CFC64E080524440,892,0101000020110F0000266BB0F0226E5FC101EBBAA4CDEB5241
N-R,4th Ave & 53rd St At Sw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000F79E24E5EE8052C0672350FD83524440,893,0101000020110F0000DD64F55D286E5FC168B5BC20D1EB5241
N-R,4th Ave & 45th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000079BF23F59E8052C0919715F71F534440,894,0101000020110F0000A51DCA95A06D5FC1A9498FB87FEC5241
N-R,4th Ave & 45th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000D866CEE49B8052C00C6993FE25534440,895,0101000020110F0000C43485619B6D5FC11BFF587886EC5241
N-R,4th Ave & 45th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000012151F89978052C0A4EDFD1323534440,896,0101000020110F000053D86AFA936D5FC1C6899E3483EC5241
D,New Utrecht Ave & 45th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000E92B8165A57F52C06E39B187F6514440,897,0101000020110F0000536236AEF86B5FC14A6562CB32EB5241
D,New Utrecht Ave & 44th St At Ne Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000D18786FD9E7F52C04F81C87212524440,898,0101000020110F0000BEFF8ACCED6B5FC11176CE0A52EB5241
D-N-R,4th Ave & 36th St At Nw Corner,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000AC2F0988498052C052D2D464C6534440,899,0101000020110F00005787EA7A0F6D5FC143DA47073AED5241
D-N-R,4th Ave & 25th St At Sw Corner (To Bay Ridge And Coney Island Only),http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E610000005024504E37F52C0D911088B8A544440,900,0101000020110F0000EDF73C59616C5FC1B842E59F15EE5241
D-N-R,4th Ave & Prospect Ave At Se Corner (To Bay Ridge And Coney Island Onl,http://www.mta.info/nyct/service/,2012-09-10 00:00:00,2012-09-10 00:00:00,0101000020E6100000FBB5F21C917F52C01348684128554440,901,0101000020110F000046FA213AD66B5FC11E352134C6EE5241
