storenum,opendate,date_super,conversion,st,county,streetaddr,strcity,strstate,zipcode,type_store,latitude,longitude
539,Thu May 19 00:00:00 -0400 1983,Mon Mar 01 00:00:00 -0500 1999,1,22,079,2050 NORTH MALL BLVD,Alexandria,LA,71301,Supercenter,31.277148,-92.452948
540,Tue May 17 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 1995,1,22,101,973 HWY 90 EAST,Bayou Vista,LA,70380,Supercenter,29.681437,-91.268275
541,Tue Oct 04 00:00:00 -0400 1983,Wed Mar 01 00:00:00 -0500 1995,1,22,103,880 N HWY 190,Covington,LA,70433,Supercenter,30.443048,-90.082389
542,Tue May 17 00:00:00 -0400 1983,Fri Mar 01 00:00:00 -0500 1996,1,22,109,1633 MARTIN LUTHER KING BLVD,Houma,LA,70360,Supercenter,29.610503,-90.751615
543,Tue Jun 07 00:00:00 -0400 1983,Wed Apr 17 00:00:00 -0400 2002,1,22,097,1629 EAST CRESSWELL LANE,Opelousas,LA,70570,Supercenter,30.518942,-92.070439
544,Fri Jul 01 00:00:00 -0400 1983,,,40,109,7500 EAST RENO,Midwest City,OK,73110,Wal-Mart,35.464057,-97.39406
545,Tue Nov 15 00:00:00 -0500 1983,,,21,051,240 MANCHESTER SQUARE,Manchester,KY,40962,Wal-Mart,36.871607,-83.89083
546,Tue Oct 04 00:00:00 -0400 1983,Mon Mar 01 00:00:00 -0500 1993,1,48,157,5330 FM1640,Richmond,TX,77469,Supercenter,29.480238,-95.759419
547,Tue Oct 04 00:00:00 -0400 1983,Sat Mar 01 00:00:00 -0500 1997,1,12,057,2602 JIM REDMAN PARKWAY,Plant City,FL,33566,Supercenter,28.18167,-82.55324
548,Tue Oct 18 00:00:00 -0400 1983,Mon Mar 01 00:00:00 -0500 2004,1,13,135,630 COLLINS HILL RD,Lawrenceville,GA,30045,Supercenter,33.97314,-83.993228
549,Sun Oct 16 00:00:00 -0400 1983,Wed Feb 20 00:00:00 -0500 2002,1,35,025,3800 LOVINGTON HWY,Hobbs,NM,88240,Supercenter,32.740598,-103.161193
550,Wed Feb 01 00:00:00 -0500 1984,,,17,101,2610 WEST HAVEN ROAD,Lawrenceville,IL,62439,Wal-Mart,38.727794,-87.699188
551,Tue Oct 23 00:00:00 -0400 1984,Wed Oct 16 00:00:00 -0400 2002,1,12,107,1024 SO. STATE ROAD #19,Palatka,FL,32177,Supercenter,29.63082,-81.65351
