cartodb_id,the_geom,name,iso2,population
2404214,0101000020E61000006336C82423270CC0523541D47D304440,Rivas de Jarama,ES,0
2404228,0101000020E610000047FE60E0B97702C031207BBDFB6F4440,Ribarredonda,ES,0
2404234,0101000020E6100000D45B035B25D801C0506B9A779C2A4440,Ribagorda,ES,0
2404246,0101000020E610000043A33B889DA905C0769CA223B9984440,Riba de Santiuste,ES,0
2404247,0101000020E61000001A0DE02D906002C037F8C264AA744440,Riba de Saelices,ES,177
2404257,0101000020E610000087EAAD81ADD20BC079E40F069EA34440,Riaza,ES,2054
2404334,0101000020E6100000771EDC9DB5DB07C00ED6FF39CCA74440,Retortillo de Soria,ES,246
2404344,0101000020E610000002392861A62D0AC0718A8EE4F27B4440,Retiendas,ES,47
2404404,0101000020E6100000947D5704FF1B08C0C871A774B03E4440,Renera,ES,65
2404424,0101000020E61000009B4B7155D93704C0B606B64AB0744440,Renales,ES,0
2404446,0101000020E61000005639B4C876FE05C04946CEC29EAA4440,Rello,ES,32
2404536,0101000020E61000009842E73576C90CC069DE718A8E684440,Redueña,ES,227
2404602,0101000020E6100000D9C9E02879B509C0BB0512143FAA4440,Rebollosa de Pedro,ES,0
2404603,0101000020E610000060F8889812C908C061A1D634EFA84440,Rebollosa de los Escuderos,ES,0
2404604,0101000020E61000005A3D27BD6FBC06C079C7293A928B4440,Rebollosa de Jadraque,ES,32
2404605,0101000020E6100000F93F87F9F24208C08169183E22624440,Rebollosa de Hita,ES,0
2404644,0101000020E61000007EF10C1AFA6709C0CB0BB08F4E6D4440,Razbona,ES,0
2404734,0101000020E610000060376C5B949903C0826E2F698CA24440,Radona,ES,0
2404946,0101000020E6100000BE78060DFD130CC0291DACFF733C4440,Quintana,ES,0
2404974,0101000020E61000008C588B4F017005C0E2DF675C38984440,Querencia,ES,0
2404975,0101000020E6100000DBB5847CD0330AC0AECE31207B4D4440,Quer,ES,1008
2405100,0101000020E61000002FCEDF8442440CC09999999999394440,Puente-Viveros,ES,0
2405122,0101000020E6100000B09DEFA7C64B0DC07BD5CA845F324440,Puente de Vallecas,ES,244151
2405157,0101000020E610000087C8B08A37320DC0C0CAA145B6374440,Pueblo Nuevo-Ventas,ES,0
2405163,0101000020E6100000654E97C5C4660AC0D62AC1E270764440,Puebla de Vallés,ES,90
2405174,0101000020E61000001518B2BAD5B302C0F484251E50AE4440,Puebla de Eca,ES,0
2405177,0101000020E610000041B28009DCBA09C0B4679604A8714440,Puebla de Beleña,ES,55
2405226,0101000020E610000015FBCBEEC98302C0B410E4A084394440,Priego,ES,1055
