Prop_ID,Name,Location,Num_of_Courts,Accessible,lat,lon,facilities_Id
" B149B "," Linwood Playground "," Linwood St., New Lots Ave. and Hegeman Aves. ",""," N "," 40.6659 "," -73.8802 ",0
" B107 "," Lion's Pride Playground "," Riverdale, Van Sinderen, Livonia and Snediker Aves. ",""," N "," 40.6626 "," -73.8997 ",0
" B309 "," Louis H. Pink Houses Playground "," Stanley Ave. & Eldert Lane ",""," N "," 40.6663 "," -73.863 ",0
" B099 "," Lt. Petrosino Playground "," New Utrecht to 16 Aves. and 70 to 71 Sts. ",""," N "," 40.6189 "," -73.9985 ",0
" B296 "," Luna Park Houses Playground "," Surf Ave. and W 8 St. to W 12 St. ",""," N "," 40.5758 "," -73.978 ",0
" B251 "," Manhattan Beach Park "," Oriental Blvd. & Ocean Ave. ",""," N "," 40.5767 "," -73.9461 ",0
" B284 "," Marc's & Jason's Playground "," Sterling St., Empire Blvd. and New York Ave. ",""," N "," 40.6634 "," -73.9492 ",0
" B016 "," Maria Hernandez Park "," Knickerbocker to Irving Aves. and Starr to Suydam Sts. ",""," N "," 40.7035 "," -73.924 ",0
" B057 "," Marine Park/Jerry Debonis "," Gerritsen Ave. & Ave. X ",""," N "," 40.5969 "," -73.9279 ",0
" B057 "," Marine Park/PS 278 "," Fillmore Ave. & Madison Pl. ",""," Y "," 40.608 "," -73.9378 ",0
" B110 "," Marion-Hopkinson Playground "," Hopkinson Ave. & Marion St. ",""," N "," 40.6817 "," -73.9136 ",0
" B272 "," Marlboro Houses Playground "," W 11 St. & Ave. W ",""," N "," 40.5911 "," -73.9808 ",0
" B098 "," Martin Luther Playground "," 55 to 56 Sts., 2 Ave. ",""," N "," 40.6461 "," -74.0197 ",0
" B058 "," McCarren Park "," Bedford Avenue and North 12th Street ",""," N "," 40.7213 "," -73.9495 ",0
" B058 "," McCarren Park "," Abate Playground ",""," N "," 40.7212 "," -73.9554 ",0
" B061 "," McLaughlin Park "," Tillary, Jay Sts., Cathedral Pl. and Bridge St. ",""," N "," 40.6963 "," -73.9866 ",0
" B197 "," Mellett Playground "," Ave. V, E 13 St. and E 14 St. ",""," N "," 40.597 "," -73.9571 ",0
" B022 "," Middleton "," Lynch St., Middleton St. and Lee Ave. ",""," N "," 40.7008 "," -73.9552 ",0
" B268 "," Nautilus Playground "," Public Beach, West 29 and West 32 street ",""," N "," 40.5717 "," -73.9968 ",0
" B331 "," Neptune Playground "," Neptune Ave. & W 12 St. ",""," N "," 40.5781 "," -73.9808 ",0
" B339 "," Newport Playground "," Newport Ave., Thatford Ave. and Osborne St. ",""," N "," 40.661 "," -73.9072 ",0
